"target","type","time","time_scale","n.risk","n.event","survival","se","var","lower_95_CI","upper_95_CI"
"Survival","PFS",210,"days",642,0,0.984413815927287,0.0046637942412927,2.1750976725115e-05,0.975315255335622,0.993597255540773
"Survival","PFS",240,"days",640,1,0.982878068944562,0.00490285664271025,2.40380032589681e-05,0.973315468587972,0.992534619647705
"Survival","PFS",270,"days",623,2,0.979732859123939,0.00536793729876097,2.88147508434293e-05,0.969268183914975,0.99031051588852
"Survival","PFS",300,"days",623,0,0.979732859123939,0.00536793729876097,2.88147508434293e-05,0.969268183914975,0.99031051588852
"Survival","PFS",330,"days",623,0,0.979732859123939,0.00536793729876097,2.88147508434293e-05,0.969268183914975,0.99031051588852
"Survival","PFS",360,"days",623,0,0.979732859123939,0.00536793729876097,2.88147508434293e-05,0.969268183914975,0.99031051588852
"Survival","PFS",390,"days",612,3,0.974953674445286,0.00600921901588464,3.61107131808695e-05,0.963246676714546,0.986802955351437
"Survival","PFS",420,"days",476,0,0.974953674445286,0.00600921901588464,3.61107131808695e-05,0.963246676714546,0.986802955351437
"Survival","PFS",450,"days",457,3,0.968631353213221,0.00699160985019205,4.88826082973026e-05,0.955024525081955,0.982432046284006
"Survival","PFS",480,"days",457,0,0.968631353213221,0.00699160985019205,4.88826082973026e-05,0.955024525081955,0.982432046284006
"Survival","PFS",510,"days",457,0,0.968631353213221,0.00699160985019205,4.88826082973026e-05,0.955024525081955,0.982432046284006
"Survival","PFS",540,"days",457,0,0.968631353213221,0.00699160985019205,4.88826082973026e-05,0.955024525081955,0.982432046284006
"Survival","PFS",570,"days",457,0,0.968631353213221,0.00699160985019205,4.88826082973026e-05,0.955024525081955,0.982432046284006
"Survival","PFS",600,"days",457,0,0.968631353213221,0.00699160985019205,4.88826082973026e-05,0.955024525081955,0.982432046284006
"Survival","PFS",630,"days",457,0,0.968631353213221,0.00699160985019205,4.88826082973026e-05,0.955024525081955,0.982432046284006
"Survival","PFS",660,"days",457,0,0.968631353213221,0.00699160985019205,4.88826082973026e-05,0.955024525081955,0.982432046284006
"Survival","PFS",690,"days",457,0,0.968631353213221,0.00699160985019205,4.88826082973026e-05,0.955024525081955,0.982432046284006
"Survival","PFS",720,"days",457,0,0.968631353213221,0.00699160985019205,4.88826082973026e-05,0.955024525081955,0.982432046284006
"Survival","PFS",750,"days",436,3,0.962104495674409,0.00789518089647419,6.23338813880509e-05,0.946754003296434,0.977703878065446
"Survival","PFS",780,"days",436,0,0.962104495674409,0.00789518089647419,6.23338813880509e-05,0.946754003296434,0.977703878065446
"Survival","PFS",810,"days",297,0,0.962104495674409,0.00789518089647419,6.23338813880509e-05,0.946754003296434,0.977703878065446
"Survival","PFS",840,"days",297,0,0.962104495674409,0.00789518089647419,6.23338813880509e-05,0.946754003296434,0.977703878065446
"Survival","PFS",870,"days",289,1,0.958786893965187,0.00853658371109126,7.28732614564686e-05,0.942200638217674,0.975665129858502
"Survival","PFS",900,"days",245,0,0.958786893965187,0.00853658371109126,7.28732614564686e-05,0.942200638217674,0.975665129858502
"Survival","PFS",930,"days",241,1,0.954824964651281,0.00937572760720996,8.7904268164599e-05,0.936624575813522,0.973379021503311
"Survival","PFS",960,"days",241,0,0.954824964651281,0.00937572760720996,8.7904268164599e-05,0.936624575813522,0.973379021503311
"Survival","PFS",990,"days",241,0,0.954824964651281,0.00937572760720996,8.7904268164599e-05,0.936624575813522,0.973379021503311
"Survival","PFS",1020,"days",241,0,0.954824964651281,0.00937572760720996,8.7904268164599e-05,0.936624575813522,0.973379021503311
"Survival","PFS",1050,"days",241,0,0.954824964651281,0.00937572760720996,8.7904268164599e-05,0.936624575813522,0.973379021503311
"Survival","PFS",1080,"days",241,0,0.954824964651281,0.00937572760720996,8.7904268164599e-05,0.936624575813522,0.973379021503311
"Survival","PFS",1110,"days",241,0,0.954824964651281,0.00937572760720996,8.7904268164599e-05,0.936624575813522,0.973379021503311
"Survival","PFS",1140,"days",241,0,0.954824964651281,0.00937572760720996,8.7904268164599e-05,0.936624575813522,0.973379021503311
"Survival","PFS",1170,"days",241,0,0.954824964651281,0.00937572760720996,8.7904268164599e-05,0.936624575813522,0.973379021503311
"Survival","PFS",1200,"days",241,0,0.954824964651281,0.00937572760720996,8.7904268164599e-05,0.936624575813522,0.973379021503311
"Survival","PFS",1230,"days",241,0,0.954824964651281,0.00937572760720996,8.7904268164599e-05,0.936624575813522,0.973379021503311
"Survival","PFS",1260,"days",241,0,0.954824964651281,0.00937572760720996,8.7904268164599e-05,0.936624575813522,0.973379021503311
