"WTP","Strategy","Proportion","On_Frontier","discount","scenario"
75000,"Chemotherapy only",0.0205761316872428,FALSE,"discounted","blina_cost_low"
80000,"Blinatumomab and chemotherapy",0.983539094650206,TRUE,"discounted","blina_cost_low"
80000,"Chemotherapy only",0.0164609053497942,FALSE,"discounted","blina_cost_low"
85000,"Blinatumomab and chemotherapy",0.98559670781893,TRUE,"discounted","blina_cost_low"
85000,"Chemotherapy only",0.01440329218107,FALSE,"discounted","blina_cost_low"
90000,"Blinatumomab and chemotherapy",0.98559670781893,TRUE,"discounted","blina_cost_low"
90000,"Chemotherapy only",0.01440329218107,FALSE,"discounted","blina_cost_low"
95000,"Blinatumomab and chemotherapy",0.989711934156379,TRUE,"discounted","blina_cost_low"
95000,"Chemotherapy only",0.0102880658436214,FALSE,"discounted","blina_cost_low"
100000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","blina_cost_low"
100000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","blina_cost_low"
105000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","blina_cost_low"
105000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","blina_cost_low"
110000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","blina_cost_low"
110000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","blina_cost_low"
115000,"Blinatumomab and chemotherapy",0.993827160493827,TRUE,"discounted","blina_cost_low"
115000,"Chemotherapy only",0.00617283950617284,FALSE,"discounted","blina_cost_low"
120000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
120000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
125000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
125000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
130000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
130000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
135000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
135000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
140000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
140000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
145000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
145000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
150000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
150000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
155000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
155000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
160000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
160000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
165000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
165000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
170000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
170000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
175000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
175000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
180000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
180000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
185000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
185000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
190000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
190000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
195000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
195000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
200000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
200000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
0,"Blinatumomab and chemotherapy",0,FALSE,"discounted","blina_cost_high"
0,"Chemotherapy only",1,TRUE,"discounted","blina_cost_high"
5000,"Blinatumomab and chemotherapy",0,FALSE,"discounted","blina_cost_high"
5000,"Chemotherapy only",1,TRUE,"discounted","blina_cost_high"
10000,"Blinatumomab and chemotherapy",0.00205761316872428,FALSE,"discounted","blina_cost_high"
10000,"Chemotherapy only",0.997942386831276,TRUE,"discounted","blina_cost_high"
15000,"Blinatumomab and chemotherapy",0.01440329218107,FALSE,"discounted","blina_cost_high"
15000,"Chemotherapy only",0.98559670781893,TRUE,"discounted","blina_cost_high"
20000,"Blinatumomab and chemotherapy",0.0493827160493827,FALSE,"discounted","blina_cost_high"
20000,"Chemotherapy only",0.950617283950617,TRUE,"discounted","blina_cost_high"
25000,"Blinatumomab and chemotherapy",0.146090534979424,FALSE,"discounted","blina_cost_high"
25000,"Chemotherapy only",0.853909465020576,TRUE,"discounted","blina_cost_high"
30000,"Blinatumomab and chemotherapy",0.273662551440329,FALSE,"discounted","blina_cost_high"
30000,"Chemotherapy only",0.726337448559671,TRUE,"discounted","blina_cost_high"
35000,"Blinatumomab and chemotherapy",0.390946502057613,FALSE,"discounted","blina_cost_high"
35000,"Chemotherapy only",0.609053497942387,TRUE,"discounted","blina_cost_high"
40000,"Blinatumomab and chemotherapy",0.518518518518518,TRUE,"discounted","blina_cost_high"
40000,"Chemotherapy only",0.481481481481481,FALSE,"discounted","blina_cost_high"
45000,"Blinatumomab and chemotherapy",0.6440329218107,TRUE,"discounted","blina_cost_high"
45000,"Chemotherapy only",0.3559670781893,FALSE,"discounted","blina_cost_high"
50000,"Blinatumomab and chemotherapy",0.730452674897119,TRUE,"discounted","blina_cost_high"
50000,"Chemotherapy only",0.269547325102881,FALSE,"discounted","blina_cost_high"
55000,"Blinatumomab and chemotherapy",0.808641975308642,TRUE,"discounted","blina_cost_high"
55000,"Chemotherapy only",0.191358024691358,FALSE,"discounted","blina_cost_high"
60000,"Blinatumomab and chemotherapy",0.858024691358025,TRUE,"discounted","blina_cost_high"
60000,"Chemotherapy only",0.141975308641975,FALSE,"discounted","blina_cost_high"
65000,"Blinatumomab and chemotherapy",0.890946502057613,TRUE,"discounted","blina_cost_high"
65000,"Chemotherapy only",0.109053497942387,FALSE,"discounted","blina_cost_high"
70000,"Blinatumomab and chemotherapy",0.915637860082305,TRUE,"discounted","blina_cost_high"
70000,"Chemotherapy only",0.0843621399176955,FALSE,"discounted","blina_cost_high"
75000,"Blinatumomab and chemotherapy",0.921810699588477,TRUE,"discounted","blina_cost_high"
75000,"Chemotherapy only",0.0781893004115226,FALSE,"discounted","blina_cost_high"
80000,"Blinatumomab and chemotherapy",0.950617283950617,TRUE,"discounted","blina_cost_high"
80000,"Chemotherapy only",0.0493827160493827,FALSE,"discounted","blina_cost_high"
85000,"Blinatumomab and chemotherapy",0.967078189300412,TRUE,"discounted","blina_cost_high"
85000,"Chemotherapy only",0.0329218106995885,FALSE,"discounted","blina_cost_high"
90000,"Blinatumomab and chemotherapy",0.975308641975309,TRUE,"discounted","blina_cost_high"
90000,"Chemotherapy only",0.0246913580246914,FALSE,"discounted","blina_cost_high"
95000,"Blinatumomab and chemotherapy",0.979423868312757,TRUE,"discounted","blina_cost_high"
95000,"Chemotherapy only",0.0205761316872428,FALSE,"discounted","blina_cost_high"
100000,"Blinatumomab and chemotherapy",0.983539094650206,TRUE,"discounted","blina_cost_high"
100000,"Chemotherapy only",0.0164609053497942,FALSE,"discounted","blina_cost_high"
105000,"Blinatumomab and chemotherapy",0.98559670781893,TRUE,"discounted","blina_cost_high"
105000,"Chemotherapy only",0.01440329218107,FALSE,"discounted","blina_cost_high"
110000,"Blinatumomab and chemotherapy",0.98559670781893,TRUE,"discounted","blina_cost_high"
110000,"Chemotherapy only",0.01440329218107,FALSE,"discounted","blina_cost_high"
115000,"Blinatumomab and chemotherapy",0.989711934156379,TRUE,"discounted","blina_cost_high"
115000,"Chemotherapy only",0.0102880658436214,FALSE,"discounted","blina_cost_high"
120000,"Blinatumomab and chemotherapy",0.989711934156379,TRUE,"discounted","blina_cost_high"
120000,"Chemotherapy only",0.0102880658436214,FALSE,"discounted","blina_cost_high"
125000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","blina_cost_high"
125000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","blina_cost_high"
130000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","blina_cost_high"
130000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","blina_cost_high"
135000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","blina_cost_high"
135000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","blina_cost_high"
